Name,SID,Email,Total Score,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,1: sepConcat explain (1.0 pts),2: sepConcat fix (1.0 pts),3: padZero explain (1.0 pts),4: padZero fix (1.0 pts),5: mulByDigit explain (1.0 pts),6: mulByDigit fix (1.0 pts)
16,16,16@example.com,5.0,Graded,3438492,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,0.0
17,17,17@example.com,6.0,Graded,3438493,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
18,18,18@example.com,6.0,Graded,3438494,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
19,19,19@example.com,2.0,Graded,3438495,2017-06-06 10:28:24 -0700,00:00:00,0,0.0,0.0,1.0,1.0,0.0,0.0
20,20,20@example.com,6.0,Graded,3438496,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
21,21,21@example.com,3.0,Graded,3438497,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,0.0,0.0,0.0,1.0,1.0
22,22,22@example.com,6.0,Graded,3438498,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
23,23,23@example.com,6.0,Graded,3438499,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
24,24,24@example.com,6.0,Graded,3438500,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,25@example.com,6.0,Graded,3438501,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
26,26,26@example.com,4.0,Graded,3438502,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,0.0,0.0
27,27,27@example.com,3.0,Graded,3438503,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,0.0,-1.0
28,28,28@example.com,0.0,Graded,3438504,2017-06-06 10:28:24 -0700,00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,29@example.com,6.0,Graded,3438505,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
30,30,30@example.com,6.0,Graded,3438506,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
31,31,31@example.com,6.0,Graded,3438507,2017-06-06 10:28:24 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
