Name,SID,Email,Total Score,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,1: sepConcat explain (1.0 pts),2: sepConcat fix (1.0 pts),3: padZero explain (1.0 pts),4: padZero fix (1.0 pts),5: mulByDigit explain (1.0 pts),6: mulByDigit fix (1.0 pts)
16,16,16@example.com,4.0,Graded,3438402,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,-1.0
17,17,17@example.com,6.0,Graded,3438403,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
18,18,18@example.com,4.0,Graded,3438404,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,0.0,1.0,0.0
19,19,19@example.com,3.0,Graded,3438405,2017-06-06 10:23:12 -0700,00:00:00,0,0.0,1.0,1.0,1.0,0.0,0.0
20,20,20@example.com,6.0,Graded,3438406,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
21,21,21@example.com,2.0,Graded,3438407,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,0.0,0.0,0.0,0.0,1.0
22,22,22@example.com,6.0,Graded,3438408,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
23,23,23@example.com,6.0,Graded,3438409,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
24,24,24@example.com,6.0,Graded,3438410,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,25@example.com,6.0,Graded,3438411,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
26,26,26@example.com,4.0,Graded,3438412,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,0.0,0.0
27,27,27@example.com,3.0,Graded,3438413,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,0.0,-1.0
28,28,28@example.com,0.0,Graded,3438414,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,0.0,0.0,0.0,0.0,-1.0
29,29,29@example.com,6.0,Graded,3438415,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
30,30,30@example.com,4.0,Graded,3438416,2017-06-06 10:23:12 -0700,00:00:00,0,0.0,1.0,1.0,1.0,1.0,0.0
31,31,31@example.com,6.0,Graded,3438417,2017-06-06 10:23:12 -0700,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0
